radius,refractive index,Ext. maxima,wavelgth ext. max.,Sca. maxima,wavelgth sca. max.,Abs. maxima,wavelgth abs. max.,EF. maxima,wavelgth ef. max.
36.0,1.1,4.0798612759790105,524.0,0.8512004816429606,540.0,3.316548832330543,522.0,1.2059833561664324,522.0
36.0,1.15,4.57363701041476,530.0,1.0943675939539033,546.0,3.60216312052252,526.0,1.249486297159637,530.0
36.0,1.2,5.0937622110771725,538.0,1.3749788854681437,548.0,3.854109494354362,534.0,1.2954986448873829,542.0
36.0,1.25,5.637183508221158,546.0,1.6693434271509335,556.0,4.076883984647396,540.0,1.3423964574541587,550.0
36.0,1.3,6.131508212688891,550.0,1.9995894727785495,566.0,4.257422172879227,548.0,1.3817356150438416,560.0
36.0,1.35,6.565316613104588,560.0,2.37097402373193,574.0,4.362022129756431,554.0,1.42147546013881,574.0
36.0,1.4,6.988847534988354,570.0,2.7768949115677035,582.0,4.414885108865196,562.0,1.459331330215423,582.0
36.0,1.45,7.402593817895029,580.0,3.122241699248586,588.0,4.426713910324612,570.0,1.4875752054157818,596.0
36.0,1.5,7.712267395988043,586.0,3.469021519685295,600.0,4.398665040805115,578.0,1.5149436153047335,610.0
36.0,1.55,7.96829364684374,600.0,3.829039855493202,610.0,4.331435552985864,588.0,1.5408078958943017,622.0
36.0,1.6,8.230262248570781,610.0,4.179934174564735,618.0,4.245000571187176,598.0,1.5644924453877447,636.0
36.0,1.65,8.47773827690056,622.0,4.492909414511412,630.0,4.153412473618086,610.0,1.589674477565631,650.0
36.0,1.7000000000000002,8.698822707856182,634.0,4.800406582973038,642.0,4.067775341519149,622.0,1.6105337424099115,662.0
36.0,1.75,8.912314413330371,644.0,5.097665547629529,652.0,3.9895375716487265,634.0,1.6185837369270302,676.0
36.0,1.8,9.120247629054742,656.0,5.368464998786697,660.0,3.908120064495489,644.0,1.6251544274931156,690.0
36.0,1.85,9.227045789141785,666.0,5.501775725178806,668.0,3.8249465960530173,656.0,1.630211464270735,704.0
36.0,1.9,9.267988940034806,676.0,5.610271937865124,680.0,3.750641340001416,666.0,1.628519384668956,718.0
36.0,1.9500000000000002,9.301471502359812,688.0,5.7088518833655515,720.0,3.683496850918693,678.0,1.6256985242282442,732.0
36.0,2.0,9.327903529896531,700.0,5.803435842749262,732.0,3.6172928194645295,690.0,1.6224548203167972,748.0
40.0,1.0,3.572788989135384,520.0,0.762246051853194,530.0,2.845199717719061,520.0,1.1455829475993158,514.0
